berge.abdul@vanderbilt.edu,ab1,2.55,2,N,Y,N
giovanny.anderson@vanderbilt.edu,ag1,2.57,2,Y,N,Y
jones.alexandrea@vanderbilt.edu,aj1,3.83,1,N,Y,N
marvin.alek@vanderbilt.edu,am1,3.58,2,N,Y,Y
nienow.antwon@vanderbilt.edu,an1,2.35,2,Y,N,N
nitzsche.alisa@vanderbilt.edu,an2,2.75,2,Y,N,N
orn.aliya@vanderbilt.edu,ao1,3.72,3,N,N,Y
roberts.aditya@vanderbilt.edu,ar1,2.78,2,N,N,Y
schmidt.alex@vanderbilt.edu,as1,3.03,1,Y,N,N
schultz.avis@vanderbilt.edu,as2,2.49,3,Y,N,N
schiller.aliza@vanderbilt.edu,as3,2.67,1,N,N,Y
schowalter.anissa@vanderbilt.edu,as4,2.74,1,Y,N,Y
hermiston.brook@vanderbilt.edu,bh1,3.33,2,N,Y,N
kay.brekke@vanderbilt.edu,bk1,4,1,N,N,Y
murazik.burley@vanderbilt.edu,bm1,3.91,3,N,Y,Y
nico.baumbach@vanderbilt.edu,bn1,3.22,2,N,N,Y
raul.beahan@vanderbilt.edu,br1,3.53,1,N,N,Y
ashtyn.corwin@vanderbilt.edu,ca1,2.56,2,N,Y,Y
gladyce.cartwright@vanderbilt.edu,cg1,2.46,3,N,Y,Y
hanna.cartwright@vanderbilt.edu,ch1,2.68,2,Y,N,Y
javier.cruickshank@vanderbilt.edu,cj1,3.96,3,Y,N,N
norbert.champlin@vanderbilt.edu,cn1,2.69,3,N,N,Y
runte.cydney@vanderbilt.edu,cr1,2.84,2,Y,N,Y
trantow.carlo@vanderbilt.edu,ct1,3.5,3,N,N,N
walter.carlo@vanderbilt.edu,cw1,3.88,2,Y,N,Y
doyle.delmer@vanderbilt.edu,dd1,2.45,2,Y,N,N
keeling.dayne@vanderbilt.edu,dk1,3.05,2,N,Y,Y
luther.denesik@vanderbilt.edu,dl1,4,2,Y,N,N
philip.mortimer@vanderbilt.edu,pm9,1.02,N
medhurst.destiney@vanderbilt.edu,dm1,2.36,3,N,N,N
